Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
1,2026-05-17,"Obi-Wan Kenobi","Ahsoka Tano","Leia Organa","Han Solo","Luke Skywalker","Mary","Poe Dameron","Finn","Rey Skywalker"
2,2026-05-24,"Mace Windu","Leia Organa","Ahsoka Tano","Finn","Mary","Luke Skywalker","Lando Calrissian","Rey Skywalker","Han Solo"
3,2026-05-31,"Leia Organa","Mace Windu","Obi-Wan Kenobi","Padme Amidala","Han Solo","Rey Skywalker","Ahsoka Tano","Luke Skywalker","Mary"
4,2026-06-07,"Ahsoka Tano","Obi-Wan Kenobi","Mace Windu","Poe Dameron","Rey Skywalker","Jyn Erso","Leia Organa","Mary","Luke Skywalker"
5,2026-06-14,"Mary","Ahsoka Tano","Anakin Skywalker","Lando Calrissian","Finn","Luke Skywalker","Obi-Wan Kenobi","Han Solo","Padme Amidala"
6,2026-06-21,"Luke Skywalker","Anakin Skywalker","Mary","Cassian Andor","Padme Amidala","Rey Skywalker","Han Solo","Jyn Erso","Finn"
7,2026-06-28,"Anakin Skywalker","Leia Organa","Luke Skywalker","Rey Skywalker","Poe Dameron","Mary","Finn","Padme Amidala","Lando Calrissian"
8,2026-07-05,"Jyn Erso","Mace Windu","Rey Skywalker","Mary","Lando Calrissian","Han Solo","Padme Amidala","Cassian Andor","Poe Dameron"
9,2026-07-12,"Rey Skywalker","Obi-Wan Kenobi","Poe Dameron","Luke Skywalker","Cassian Andor","Jyn Erso","Mace Windu","Ahsoka Tano","Leia Organa"
10,2026-07-19,"Obi-Wan Kenobi","Anakin Skywalker","Lando Calrissian","Leia Organa","Jyn Erso","Finn","Cassian Andor","Poe Dameron","Ahsoka Tano"
11,2026-07-26,"Mace Windu","Han Solo","Jyn Erso","Ahsoka Tano","Leia Organa","Padme Amidala","Anakin Skywalker","Obi-Wan Kenobi","Cassian Andor"
12,2026-08-02,"Ahsoka Tano","Finn","Leia Organa","Obi-Wan Kenobi","Mace Windu","Poe Dameron","Lando Calrissian","Anakin Skywalker","Jyn Erso"
13,2026-08-09,"Leia Organa","Padme Amidala","Ahsoka Tano","Mace Windu","Obi-Wan Kenobi","Lando Calrissian","Poe Dameron","Finn","Anakin Skywalker"
14,2026-08-16,"Anakin Skywalker","Cassian Andor","Obi-Wan Kenobi","Jyn Erso","Ahsoka Tano","Luke Skywalker","Mary","Leia Organa","Mace Windu"
15,2026-08-23,"Han Solo","Ahsoka Tano","Mace Windu","Anakin Skywalker","Mary","Cassian Andor","Luke Skywalker","Lando Calrissian","Obi-Wan Kenobi"
16,2026-08-30,"Finn","Leia Organa","Anakin Skywalker","Han Solo","Luke Skywalker","Rey Skywalker","Jyn Erso","Mace Windu","Mary"
17,2026-09-06,"Padme Amidala","Mace Windu","Han Solo","Finn","Anakin Skywalker","Mary","Rey Skywalker","Jyn Erso","Luke Skywalker"
18,2026-09-13,"Poe Dameron","Obi-Wan Kenobi","Finn","Padme Amidala","Han Solo","Jyn Erso","Ahsoka Tano","Luke Skywalker","Rey Skywalker"
19,2026-09-20,"Lando Calrissian","Anakin Skywalker","Padme Amidala","Poe Dameron","Rey Skywalker","Han Solo","Leia Organa","Mary","Finn"
20,2026-09-27,"Mary","Poe Dameron","Cassian Andor","Lando Calrissian","Padme Amidala","Finn","Obi-Wan Kenobi","Rey Skywalker","Han Solo"
